# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2M of event 'cycles:Pu'
# Event count (approx.): 805584345537
#
#     Self  Symbol                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  .........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.33%  [.] encoding/json/jsontext.(*decoderState).consumeArray                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.32%  [.] reflect.Value.SetInt                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.32%  [.] encoding/json/v2.makeStringArshaler.func1                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.31%  [.] internal/strconv.ftoa64                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.30%  [.] encoding/json/jsontext.(*decoderState).consumeNumber                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.29%  [.] encoding/json/v2.makeFloatArshaler.func1                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.28%  [.] runtime.gcDrain                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.28%  [.] encoding/json/v2.makeStringArshaler.func2                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.28%  [.] runtime.(*lfstack).pop                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.28%  [.] encoding/json/jsontext.(*Decoder).PeekKind                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.28%  [.] runtime.(*mheap).allocSpan                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.26%  [.] runtime.stealWork                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.26%  [.] encoding/json/v2.makePointerArshaler.func2                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.26%  [.] runtime.unlock2                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.25%  [.] reflect.Value.IsNil                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.25%  [.] internal/runtime/maps.memHashAES                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.25%  [.] runtime.mallocgcSmallNoScanSlowPath                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.24%  [.] runtime.mallocgc                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.24%  [.] runtime.gcNextMarkRoot                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.23%  [.] reflect.Value.assignTo                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.23%  [.] runtime.scanSpan                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.23%  [.] internal/strconv.atof64                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.22%  [.] internal/strconv.shortFloat[go.shape.float64]                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.21%  [.] reflect.Value.Index                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.21%  [.] runtime.typePointers.next                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.21%  [.] runtime.mallocgcSmallNoScanSC5                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.21%  [.] reflect.Value.SetString                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.21%  [.] runtime.bulkBarrierPreWrite                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.21%  [.] runtime.(*gcControllerState).update                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.20%  [.] runtime.slicebytetostring                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.18%  [.] encoding/json/jsontext.(*objectNameStack).ReplaceLastQuotedOffset                                                                                                                                                                                                                                                                                                                                      -      -            
     0.17%  [.] runtime.spanSetScans                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.17%  [.] runtime.(*gcControllerState).memoryLimitHeapGoal                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.17%  [.] runtime.unlock2Wake                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.16%  [.] runtime.(*mheap).initSpan                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.16%  [k] 0xffffffffac20187e                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.16%  [.] runtime.mallocgcSmallNoScanSC4                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.16%  [.] sync.(*Once).Do                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.16%  [.] runtime.(*sweepLocker).tryAcquire                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.15%  [.] reflect.Value.Elem                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.15%  [.] reflect.directlyAssignable                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.15%  [.] runtime.(*mheap).freeSpanLocked                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.15%  [.] runtime.runqgrab                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.14%  [.] runtime.scanObjectSmall                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.14%  [.] runtime.(*spanInlineMarkBits).tryAcquire                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.13%  [.] runtime.(*gcWork).tryStealSpan                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.13%  [.] runtime.gcDrainN                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.13%  [.] runtime.resolveTypeOff                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.13%  [.] runtime.(*sysMemStat).add                                                                                                                                                                                                                                                                                                                                                                              -      -            
