# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2M of event 'cycles:Pu'
# Event count (approx.): 805584345537
#
#     Self  Symbol                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  .........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.00%  [.] runtime.scanObject                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] internal/sync.(*Mutex).lockSlow                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [.] runtime.(*gcWork).dispose                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.00%  [.] runtime.gcAssistAlloc.func2                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.00%  [.] time.Time.Sub                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.00%  [.] runtime.taggedPointerPack                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.00%  [.] runtime.atomicwb                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.00%  [.] runtime.stackpoolalloc                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.00%  [.] runtime.stackcache_clear                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.00%  [.] runtime.setBlockOnExitSyscall                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.00%  [.] runtime.removespecial                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.00%  [.] os.(*File).readdir                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.(*spanQueue).steal                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.00%  [.] runtime.(*Frames).Next                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.00%  [.] syscall.Getenv                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [.] 0x000000000002a191                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.numaBindGrowth                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.00%  [.] 0x00000000000008d0                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] fmt.(*pp).printArg                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d260                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000c6ef                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x0000000000533777                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000c30f                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000c3ff                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000c9c7                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d305                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d2bb                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d34f                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d21a                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000c340                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000053186a                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000c445                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000affb                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000c26e                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000c327                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000c31f                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d399                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d18a                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000009234f                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000b020                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x0000000000029ec9                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000b0d5                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000c420                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d3bb                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d24f                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d1e0                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d3c6                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x0000000000473f66                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000c456                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.bgsweep                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [.] runtime.(*spanSet).push                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.00%  [.] runtime.mcall                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.00%  [.] internal/runtime/maps.(*table).uncheckedPutSlot                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [.] runtime.(*pallocBits).findSmallN                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.00%  [.] runtime.(*pageAlloc).scavenge.func1                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.00%  [.] encoding/json/v2.Unmarshal.deferwrap1                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.00%  [.] runtime.(*gcControllerState).startCycle                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.00%  [.] 0x000000000000c9e0                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.futex.abi0                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.scanblock                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.00%  [.] time.(*Time).String                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.00%  [.] 0x00000000000899ab                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] io.copyBuffer                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.00%  [.] indexbody                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.00%  [.] runtime.makeslice                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.00%  [.] 0x0000000000058445                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000046154d                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.runqsteal                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.00%  [.] 0x000000000002a1ba                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.checkdead                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.00%  [.] runtime/pprof.(*profileBuilder).pbSample                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.00%  [.] 0x0000000000022fda                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000005b8cd                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000005bb4e                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000002338f                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] sync.runtime_procPin                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.00%  [.] fmt.Fprintf                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.00%  [.] runtime.osyield.abi0                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.00%  [.] internal/bytealg.IndexByteString.abi0                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.00%  [.] runtime.adjustSignalStack                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.00%  [.] 0x0000000000057253                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000003976e                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.(*pollDesc).publishInfo                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [.] runtime.gcResetMarkState.func1                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [.] 0x000000000047aa43                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] syscall.Syscall6                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.00%  [.] syscall.openat                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [.] fmt.(*fmt).fmtSbx                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.00%  [.] runtime.save                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.00%  [.] cmd/internal/par.(*Cache[go.shape.string,go.shape.struct { cmd/internal/par.v go.shape.*uint8; cmd/internal/par.err error }]).Do                                                                                                                                                                                                                                                                       -      -            
     0.00%  [.] runtime.(*stkframe).argMapInternal                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] container/heap.Pop                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000005b832                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.funcMaxSPDelta                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.00%  [.] 0x000000000046157a                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.preemptone                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.unlock2                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [.] runtime.(*stackScanState).addObject                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.00%  [.] runtime.tgkill.abi0                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.00%  [.] runtime.(*sysMemStat).add                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.00%  [.] 0x000000000005b9ea                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] reflect.elem                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.00%  [.] runtime.suspendG                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.00%  [.] 0x00000000000009df                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] go/build/constraint.(*exprParser).and                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.00%  [.] 0x00000000000397d7                                                                                                                                                                                                                                                                                                                                                                                     -      -            
