# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 933K of event 'cycles:P'
# Event count (approx.): 631060713114
#
#     Self  Symbol                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  .........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.21%  [.] encoding/json/v2.makeFloatArshaler.func1                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.20%  [.] runtime.lock2                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.20%  [.] encoding/json/jsontext.(*decoderState).consumeNumber                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.19%  [.] runtime.(*spanSet).push                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.19%  [.] runtime.mallocgcSmallNoScanSlowPath                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.19%  [.] encoding/json/v2.makeStringArshaler.func2                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.19%  [.] encoding/json/v2.makePointerArshaler.func2                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.18%  [.] encoding/json/jsontext.(*Decoder).PeekKind                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.16%  [.] internal/strconv.shortFloat[go.shape.float64]                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.16%  [.] runtime.(*mcentral).cacheSpan                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.16%  [.] runtime.typePointers.next                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.16%  [.] runtime.bulkBarrierPreWrite                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.15%  [.] runtime.mallocgc                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.15%  [.] reflect.Value.IsNil                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.14%  [.] runtime.gcDrain                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.14%  [.] encoding/json/jsontext.(*objectNameStack).ReplaceLastQuotedOffset                                                                                                                                                                                                                                                                                                                                      -      -            
     0.14%  [.] reflect.Value.assignTo                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.14%  [k] account_user_time                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.14%  [.] runtime.deductSweepCredit                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.14%  [.] internal/strconv.atof64                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.14%  [.] runtime.scanObjectsSmall                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.13%  [.] reflect.Value.Index                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.13%  [.] runtime.scanObject                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.13%  [.] internal/runtime/maps.memHashAES                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.13%  [.] runtime.(*mcache).refill                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.12%  [.] runtime.stealWork                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.12%  [.] reflect.Value.SetString                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.12%  [.] runtime.slicebytetostring                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.11%  [.] runtime.scanSpan                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.11%  [.] sync.(*Once).Do                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.10%  [k] native_irq_return_iret                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.10%  [.] reflect.Value.Elem                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.10%  [.] runtime.(*gcControllerState).memoryLimitHeapGoal                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.10%  [.] runtime.(*sweepLocker).tryAcquire                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.10%  [k] smp_call_function_many_cond                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.10%  [.] runtime.mallocgcSmallNoScanSC5                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.09%  [k] native_flush_tlb_one_user                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.09%  [.] reflect.directlyAssignable                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.09%  [k] _raw_spin_lock_irq                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.09%  [.] runtime.(*mheap).allocSpan                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.08%  [.] runtime.(*atomicHeadTailIndex).incTail                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.08%  [.] runtime.(*sysMemStat).add                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.08%  [.] internal/strconv.AppendInt                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.08%  [.] runtime.(*mheap).initSpan                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.08%  [.] runtime.resolveTypeOff                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.08%  [.] runtime.(*gcControllerState).update                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.08%  [.] encoding/json/internal/jsonwire.AppendFloat                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.08%  [.] runtime.mallocgcSmallNoScanSC4                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.08%  [.] runtime.unlock2                                                                                                                                                                                                                                                                                                                                                                                        -      -            
