# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 933K of event 'cycles:P'
# Event count (approx.): 631060713114
#
#     Self  Symbol                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  .........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.00%  [.] runtime.mallocgcSmallScanNoHeaderSC5                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.00%  [k] perf_event__header_size                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.00%  [.] runtime.castogscanstatus                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.00%  [k] wake_up_state                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.00%  [k] __perf_event_read_size                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.00%  [.] runtime.sysUsedOS                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.00%  [.] cmd/go/internal/load.loadPackageData                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.00%  [.] runtime.stopm                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.00%  [.] runtime.releasepNoTrace                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.00%  [.] 0x0000000000022fc8                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.(*mspan).typePointersOfUnchecked                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.00%  [.] encoding/json/v2.lookupArshaler                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [k] __zone_watermark_ok                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.00%  [.] 0x0000000000035f77                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [k] siginfo_layout                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [.] 0x0000000000022fe8                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [k] do_nanosleep                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.00%  [.] internal/runtime/maps.memHashFallback                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.00%  [.] runtime.morestack_noctxt.abi0                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.00%  [k] madvise_vma_behavior                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.00%  [.] runtime.mapassign_fast64                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.00%  [.] internal/runtime/maps.(*table).uncheckedPutSlot                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [k] do_send_sig_info                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.00%  [.] 0x00000000000397c5                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x0000000000057243                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.nanotime1.abi0                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.00%  [k] find_vma                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.00%  [.] runtime.markrootBlock                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.00%  [.] runtime.(*sweepLocker).tryAcquire                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.00%  [.] 0x00000000000397d7                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [k] futex_q_unlock                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [.] runtime.timeSleepUntil                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.00%  [.] runtime.(*scavengeIndex).free                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.00%  [.] runtime.mallocgcSmallScanNoHeaderSC2                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.00%  [.] runtime.mallocgcSmallScanNoHeader                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.00%  [k] rwsem_mark_wake                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [k] __folio_put                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.00%  [k] pgtable_trans_huge_deposit                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.00%  [.] runtime.runqputbatch                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.00%  [k] mas_empty_area_rev                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [k] migrate_task_rq_fair                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.00%  [k] xfs_vn_getattr                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [.] runtime.(*timers).check                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.00%  [.] runtime.strequal                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.00%  [.] runtime.setprofilebucket                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.00%  [k] rcu_report_qs_rnp                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.00%  [k] arch_get_unmapped_area_topdown                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [.] runtime.parkunlock_c                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.00%  [k] mas_preallocate                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [k] xfs_buf_lookup.constprop.0                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.00%  [.] runtime.(*timeHistogram).record                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [.] crypto/internal/fips140/sha256.(*Digest).Sum                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.00%  [.] runtime.finishsweep_m                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.00%  [.] 0x000000000005b875                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [k] rw_verify_area                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [.] 0x0000000000533728                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [k] memchr                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.00%  [.] 0x000000000000e519                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d1fb                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d399                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.unlock2                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [k] vms_gather_munmap_vmas                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.00%  [.] runtime.mallocgcSmallScanNoHeaderSC6                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.00%  [.] encoding/json/jsontext.(*decoderState).reset                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.00%  [.] cmpbody                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.00%  [.] runtime.notesleep                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.00%  [.] runtime.mallocgcSmallScanNoHeaderSC5                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.00%  [.] runtime.checkTimersNoP                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.00%  [k] hrtimer_reprogram                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.00%  [.] runtime.(*pageAlloc).sysGrow                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.00%  [.] runtime.unlock2                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [.] 0x000000000000d1e0                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d365                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000e523                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000008957f                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000c5c0                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000001a6b3                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [k] native_smp_send_reschedule                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.00%  [.] runtime.growslice                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.00%  [.] 0x000000000005724d                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [k] lru_add                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.00%  [.] 0x000000000053180b                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000047b17e                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.(*pallocBits).findSmallN                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.00%  [k] uncharge_batch                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [.] runtime.gcMark                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [k] __folio_mod_stat                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.00%  [k] putname                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.00%  [.] 0x00000000000009c9                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.funcMaxSPDelta                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.00%  [.] runtime.ifaceeq                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [.] runtime.goschedIfBusy                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.00%  [.] runtime.sigtramp.abi0                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.00%  [.] runtime.startm                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [k] __lookup_mnt                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.00%  [.] runtime.gcstopm                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [.] 0x000000000005b8b3                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] encoding/json/jsontext.(*decoderState).fetch                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.00%  [k] rcutree_enqueue.isra.0                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.00%  [.] 0x000000000003939a                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.(*gcControllerState).addIdleMarkWorker                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [.] runtime.(*mspan).heapBits                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.00%  [k] __resched_curr                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [.] runtime.casfrom_Gscanstatus                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.00%  [.] runtime.(*fixalloc).alloc                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.00%  [.] compress/bzip2.(*bitReader).ReadBits64                                                                                                                                                                                                                                                                                                                                                                 -      -            
