# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 953K of event 'cycles:P'
# Event count (approx.): 650593805987
#
#     Self  Symbol                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  .........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.27%  [.] encoding/json/internal/jsonwire.UnquoteMayCopy                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.27%  [.] runtime.(*gcControllerState).memoryLimitHeapGoal                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.27%  [.] reflect.Value.Set                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.25%  [.] runtime.mallocgcSmallNoScanSlowPath                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.25%  [k] smp_call_function_many_cond                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.24%  [.] encoding/json/v2.makeStringArshaler.func1                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.24%  [.] internal/strconv.ftoa64                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.24%  [.] internal/strconv.parseFloat64                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.24%  [.] encoding/json/internal/jsonflags.Flags.Get                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.22%  [.] encoding/json/jsontext.(*decoderState).consumeArray                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.22%  [.] encoding/json/v2.makeFloatArshaler.func1                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.21%  [.] runtime.mapaccess1_faststr                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.21%  [.] runtime.scanSpan                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.20%  [.] runtime.scanObject                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.20%  [.] encoding/json/v2.makeStringArshaler.func2                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.20%  [.] encoding/json/v2.makePointerArshaler.func2                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.19%  [.] reflect.Value.SetInt                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.19%  [.] encoding/json/jsontext.(*decoderState).consumeNumber                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.19%  [k] account_user_time                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.19%  [.] runtime.stealWork                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.19%  [.] runtime.typePointers.next                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.19%  [.] runtime.mallocgcSmallNoScanSC5                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.19%  [.] runtime.(*gcControllerState).update                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.19%  [.] encoding/json/jsontext.(*Decoder).PeekKind                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.19%  [.] runtime.mallocgc                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.18%  [.] reflect.Value.IsNil                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.17%  [.] runtime.(*atomicHeadTailIndex).incTail                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.17%  [.] runtime.scanObjectsSmall                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.17%  [.] runtime.(*mheap).initSpan                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.17%  [.] internal/strconv.atof64                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.17%  [.] internal/strconv.shortFloat[go.shape.float64]                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.16%  [.] runtime.bulkBarrierPreWrite                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.16%  [.] reflect.Value.SetString                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.15%  [.] runtime.(*mheap).allocSpan                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.15%  [.] reflect.Value.assignTo                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.15%  [.] reflect.Value.Index                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.14%  [.] runtime.(*gcControllerState).heapGoalInternal                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.14%  [.] runtime.mallocgcSmallNoScanSC4                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.13%  [.] runtime.spanSetScans                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.13%  [.] encoding/json/jsontext.(*objectNameStack).ReplaceLastQuotedOffset                                                                                                                                                                                                                                                                                                                                      -      -            
     0.13%  [k] native_irq_return_iret                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.13%  [.] reflect.Value.Elem                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.12%  [.] runtime.(*sysMemStat).add                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.12%  [.] sync.(*Once).Do                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.12%  [.] runtime.slicebytetostring                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.11%  [.] runtime.unlock2                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.11%  [.] runtime.(*gcWork).tryStealSpan                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.11%  [.] encoding/json/jsontext.Token.Kind                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.11%  [.] runtime.mallocgcSmallNoScanSC3                                                                                                                                                                                                                                                                                                                                                                         -      -            
