# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 953K of event 'cycles:P'
# Event count (approx.): 650593805987
#
#     Self  Symbol                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  .........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.00%  [k] selinux_file_permission                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.00%  [.] errors.Is                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.00%  [.] cmd/go/internal/modindex.(*sourceFile).directives                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.00%  [.] runtime.getfp                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.00%  [k] atime_needs_update                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [k] mas_alloc_nodes                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [.] 0x000000000005724f                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] syscall.Pipe2                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.00%  [.] runtime.preemptPark                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.00%  [.] runtime.mallocgcSmallNoScanSC4                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [.] runtime.write                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.00%  [.] 0x000000000003fd19                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.stackcache_clear                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.00%  [.] fmt.(*pp).free                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [.] path.Dir                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.00%  [k] ksys_read                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.00%  [k] commit_merge                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.00%  [.] 0x000000000001d171                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [k] audit_alloc                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.00%  [.] cmd/go/internal/modindex.dirHash                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.00%  [.] 0x0000000000023baf                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x00000000000397ba                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [k] ktime_get_ts64                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [k] generic_file_read_iter                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.00%  [.] 0x000000000005b91d                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.(*pageAlloc).sysGrow                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.00%  [k] set_user_sigmask                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.00%  [.] runtime.nanotime1.abi0                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.00%  [.] runtime.preemptall                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [k] select_estimate_accuracy                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.00%  [.] runtime.pidleget                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.00%  [k] lookup_fast                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.00%  [k] unmap_page_range                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.00%  [.] runtime.(*timeHistogram).record                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [k] file_has_perm                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.00%  [.] runtime.forEachG                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.00%  [.] runtime.tgkill.abi0                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.00%  [k] selinux_file_alloc_security                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.00%  [.] bufio.(*Reader).ReadByte                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.00%  [.] runtime.(*sweepLocked).sweep                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.00%  [.] 0x000000000005b9ea                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x0000000000091ee0                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [k] setfl                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.00%  [.] runtime.doSigPreempt                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.00%  [.] runtime.(*mheap).grow                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.00%  [.] fmt.(*fmt).fmtInteger                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.00%  [k] task_scan_max                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.00%  [.] runtime.preemptall                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.(*mheap).allocNeedsZero                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [.] runtime.casGToPreemptScan                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.00%  [k] __bitmap_intersects                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.00%  [k] __schedule_delayed_monitor_work                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [.] runtime.getGCMaskOnDemand                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.00%  [k] get_random_u32                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [k] __check_heap_object                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.00%  [.] runtime.(*mcache).nextFree                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.00%  [.] 0x000000000003a403                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.(*gcControllerState).resetLive                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.00%  [.] runtime.(*itabTableType).add                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.00%  [.] 0x00000000005308cd                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [k] mas_next_node                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.00%  [.] 0x0000000000037dcc                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] path.Clean                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.00%  [.] runtime.memmove                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [.] cmd/go/internal/load.(*preload).preloadImports.gowrap1                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.00%  [.] runtime.(*pageAlloc).find                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.00%  [.] 0x000000000003a42e                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.(*sysMemStat).add                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.00%  [.] runtime.mallocgc                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.00%  [.] 0x0000000000082bef                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000003b5ea                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x00000000000489c8                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] cmd/go/internal/modload.scanDir                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [.] _dl_relocate_object_no_relro                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.00%  [.] compress/bzip2.init.0                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.00%  [.] runtime.(*pollDesc).publishInfo                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [.] runtime.fastexprand                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.00%  [k] strncpy_from_user                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.00%  [.] 0x0000000000074ed2                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x0000000000041d91                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x0000000000062e78                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] runtime.makeslice                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.00%  [.] cmd/go/internal/cache.(*Hash).Write                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.00%  [.] runtime.futexsleep                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000ca56                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x0000000000056ebc                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000af05                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d212                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000002c1b2                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x00000000005317c9                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x00000000000093eb                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000c45b                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d24f                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d21f                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000e4c6                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000c3ff                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d18a                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000c30f                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d880                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d32d                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x00000000005318de                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x0000000000531907                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x0000000000531804                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000008d7fe                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000000d25f                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [k] __folio_mod_stat                                                                                                                                                                                                                                                                                                                                                                                       -      -            
